english,article,german,plural
old town,die,Altstadt,Altstädte
pharmacy,die,Apotheke,Apotheken
april,der,April,x
poor,der,Arm,Arme
physician,der,Arzt,Ärzte
elevator,der,Aufzug,Aufzüge
eye,das,Auge,Augen
august,der,August,x
bathrobe,der,Bademantel,Bademäntel
balcony,der,Balkon,Balkons
belly,der,Bauch,Bäuche
leg,das,Bein,Beine
library,die,Bibliothek,Bibliotheken
breast,die,Brust,Brüste
december,der,Dezember,x
doctor,der,Doktor,Doktoren
shower,die,Dusche,Duschen
ground floor,das,Erdgeschoss,Erdgeschosse
february,der,Februar,x
window,das,Fenster,Fenster
tv,der,Fernseher,Fernseher
fever,das,Fieber,Fieber
finger,der,Finger,Finger
spring,der,Frühling,Frühlinge
foot,der,Fuß,Füße
hairdryer,der,Föhn,Föhne
guest,der,Gast,Gäste
business,das,Geschäft,Geschäfte
throat,der,Hals,Hälse
hand,die,Hand,Hände
hand towel,das,Handtuch,Handtücher
heating,die,Heizung,Heizungen
autumn,der,Herbst,Herbste
cough,der,Husten,Husten
internet connection,die,Internetverbindung,Internetverbindungen
january,der,Januar,x
youth hostel,die,Jugendherberge,Jugendherbergen
july,der,Juli,x
june,der,Juni,x
"basement, cellar",der,Keller,Keller
kindergarten,der,Kindergarten,Kindergärten
church,die,Kirche,Kirchen
air conditioning,die,Klimaanlage,Klimaanlagen
knee,das,Knie,Knie
head,der,Kopf,Köpfe
load,der,Laden,Läden
light,das,Licht,Lichter
may,der,Mai,x
market,der,Markt,Märkte
drug,das,Medikament,Medikamente
mouth,der,Mund,Münder
march,der,März,x
nose,die,Nase,Nasen
november,der,November,x
ear,das,Ohr,Ohren
october,der,Oktober,x
pavement,das,Pflaster,Pflaster
practice,die,Praxis,Praxen
radio,das,Radio,Radios
city ​​hall,das,Rathaus,Rathäuser
recipe,das,Rezept,Rezepte
the back,der,Rücken,Rücken
ointment,die,Salbe,Salben
lock,das,Schloss,Schlösser
pain,der,Schmerz,Schmerzen
sniffles,der,Schnupfen,Schnupfen
school,die,Schule,Schulen
soap,die,Seife,Seifen
september,der,September,x
summer,der,Sommer,Sommer
playground,der,Spielplatz,Spielplätze
floor,der,Stock,Stöcke
tablet,die,Tablette,Tabletten
phone,das,Telefon,Telefone
tower,der,Turm,Türme
water,das,Wasser,Wasser
alarm clock,der,Wecker,Wecker
winter,der,Winter,Winter
tooth,der,Zahn,Zähne
